A,A4933B,N394SF,18.336,-64.983,0,15,C208,1737722805
A,A4CBFD,N408SV,18.335,-64.973,0,0,AT46,1737722761
A,A54D74,N4403X,18.336,-64.951,500,76,P28A,1737722805
A,A29428,N26514,17.697,-64.848,600,111,C402,1737722805
A,A441A4,N3732X,18.301,-64.832,4025,132,SH36,1737722796
A,C05F40,C-GKBV,17.963,-64.794,1800,136,DHC6,1737722805
A,A911CB,N68379,18.041,-64.559,6200,110,C402,1737722804
A,A56F93,N4498Y,18.438,-64.538,600,116,SH36,1737722730
A,A1F19B,N224TW,18.063,-64.412,17425,211,PC12,1737722805
A,AC234A,N881TW,18.044,-63.899,16475,289,PC12,1737722805
A,3A4832,F-OSBS,18.238,-63.86,7950,203,C208,1737722805
A,0C4357,HI1104,17.972,-63.837,10650,322,B38M,1737722805
A,AC6D66,N90FX,16.796,-63.621,41000,469,GLEX,1737722805
A,A4C846,N407SV,16.934,-63.064,18025,303,AT46,1737722805
A,A26F86,N256TW,18.206,-63.052,0,0,PC12,1737722805
A,3A4915,F-OSIV,18.099,-63.045,0,16,AT76,1737722791
A,A21C8C,N235RB,17.963,-63.036,3400,172,PC12,1737722804
A,424532,VP-ALS,18.142,-63.025,1400,195,C402,1737722805
A,3A48A2,F-OSFC,17.904,-62.844,0,0,P212,1737722719
A,009BA3,ZS-KLM,17.211,-62.315,6750,245,E120,1737722805
A,N/A,N/A,17.623,-61.799,0,0,FA7X,1737722803
A,AB84A5,N841MB,17.138,-61.795,0,1,GA8,1737722794
A,4B1F2B,HB-LUX,16.53,-61.752,6475,160,DHC6,1737722805
A,0C605A,9Y-TTH,16.362,-61.64,17950,273,AT76,1737722804
A,AC6CE8,N90AW,13.292,-61.576,17500,221,BE9L,1737722805
A,491D87,CS-GLG,17.535,-61.424,17100,328,GLEX,1737722805
A,E4A276,PS-MGB,13.325,-61.306,1100,138,B407,1737722805
A,4003A4,VQ-TGD,14.855,-61.205,11000,272,AT45,1737722805
A,0BC23F,J8-RAF,14.083,-61.188,7775,174,DHC6,1737722805
A,400399,VQ-THM,13.164,-61.151,0,0,AT45,1737722799
A,3A490B,F-OSIL,15.28,-61.021,12025,258,AT76,1737722804
